pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,2020-08-15,94.8,-3.834600715856488,5.217610216717585,Jose Berrios,624585,621244,strikeout,called_strike,,,,,14,Jorge Soler called out on strikes.  ,R,R,R,MIN,KC,S,2.0,,2,2,2020,-1.4220919815014958,0.6450241310841781,0.21,1.65,,,,2,4,Top,,,,,641598,,,13.769940242592881,-137.27596177453108,-5.087238715711957,-20.976714092821926,29.400760851286613,-22.9998919528298,3.63,1.8,,,,95.01100000000001,2102,6.608111581412929,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.89189035458707,,,0.0,1.0,0.0,0.0,,32,7,Sinker,1,4,4,1,4,1,4,1,Infield shift,Standard
CU,2020-08-15,83.0,-3.838229187395246,5.191800592788363,Jose Berrios,624585,621244,,foul,,,,,12,,R,R,R,MIN,KC,S,,,2,2,2020,1.329374633903886,-0.139016941457171,0.9,3.03,,,,2,4,Top,,,,,641598,,,8.246152258192483,-120.71860253902945,1.800223514168355,11.454111746423767,22.97223810879753,-34.113461081089554,3.63,1.71,,,,83.245,2271,6.42850463145751,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.0714973045425,,,,,,,,32,6,Curveball,1,4,4,1,4,1,4,1,Infield shift,Standard
SI,2020-08-15,94.7,-3.706195722987733,5.21317770313599,Jose Berrios,624585,621244,,foul,,,,,9,,R,R,R,MIN,KC,S,,,2,2,2020,-1.414428122806899,0.8078616337198292,0.39,1.75,,,,2,4,Top,,,,,641598,,,13.886994357320564,-137.29250074398286,-5.209707876975566,-20.775024416510803,27.02439758737369,-20.912511478471192,3.63,1.71,2.0,76.6,-28.0,95.314,2044,6.59974515374933,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.90025678225065,,,,,,,,32,5,Sinker,1,4,4,1,4,1,4,1,Infield shift,Standard
CH,2020-08-15,84.3,-3.9209726629593047,5.1337870077850445,Jose Berrios,624585,621244,,foul,,,,,1,,R,R,R,MIN,KC,S,,,2,1,2020,-1.1114983221346844,0.3631247580031256,-0.32,3.11,,,,2,4,Top,,,,,641598,,,10.587411636260796,-122.51751392126316,0.8759419527139091,-13.089141054897956,20.370461003323552,-28.830108941988488,3.63,1.71,172.0,64.2,46.0,84.917,1561,6.40531692007543,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.09468501592457,,,,,,,,32,4,Changeup,1,4,4,1,4,1,4,1,Infield shift,Standard
SI,2020-08-15,93.7,-3.7292405798425032,5.256372513793188,Jose Berrios,624585,621244,,swinging_strike,,,,,13,,R,R,R,MIN,KC,S,,,2,0,2020,-1.3593777888150804,0.7093399595234872,-0.19,1.58,,,,2,4,Top,,,,,641598,,,12.224647232670483,-135.98237343931532,-5.4263387790008615,-19.33608456386776,25.328935405225344,-22.343433157450576,3.63,1.71,,,,94.87100000000001,2033,6.78141364684849,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.718588289151505,,,,,,,,32,3,Sinker,1,4,4,1,4,1,4,1,Infield shift,Standard
SI,2020-08-15,94.4,-3.7511562636419984,5.297866755404772,Jose Berrios,624585,621244,,ball,,,,,14,,R,R,R,MIN,KC,B,,,1,0,2020,-1.4748603314571442,0.7884732218917757,1.55,1.71,,,,2,4,Top,,,,,641598,,,17.051461251148872,-136.4893594461178,-5.4337481945786825,-21.81749633375957,25.314592444338604,-21.181385393558106,3.63,1.73,,,,94.876,2139,6.565849012022821,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.93415292397719,,,,,,,,32,2,Sinker,1,4,4,1,4,1,4,1,Infield shift,Standard
CU,2020-08-15,84.6,-4.027033832400159,5.1572292821725165,Jose Berrios,624585,621244,,ball,,,,,14,,R,R,R,MIN,KC,B,,,0,0,2020,1.18923157785123,-0.5339882505389472,2.4,0.15,,,,2,4,Top,,,,,641598,,,12.581030761884954,-122.55214445805993,-4.126839287489283,9.115790988762912,26.953196338989066,-36.779523936826095,3.63,1.77,,,,84.056,2364,6.43932146212597,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,54.06068047387404,,,,,,,,32,1,Curveball,1,4,4,1,4,1,4,1,Infield shift,Standard
CH,2020-08-15,84.3,-3.737811039480712,5.220379993667033,Jose Berrios,593160,621244,home_run,hit_into_play_score,,,,,7,Whit Merrifield homers (5) on a line drive to left field.   Adalberto Mondesi scores.    Cam Gallagher scores.  ,R,R,R,MIN,KC,X,,line_drive,0,0,2020,-1.076161090949302,0.5864429067213363,-0.33,2.09,,609275.0,595956.0,2,4,Top,41.46,63.15,,,641598,,,10.144073465356973,-122.45674348711313,-2.0883702611612467,-12.754878364074345,22.59646392495945,-26.038517257194147,3.34,1.55,377.0,98.0,28.0,85.141,1578,6.78137612706026,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.71862580893974,0.537,0.917,2.0,1.0,0.0,3.0,6.0,31,1,Changeup,1,1,1,1,1,1,1,1,Standard,Standard
CU,2020-08-15,84.3,-3.783581082626213,5.264381383868061,Jose Berrios,595956,621244,walk,ball,,,,,14,Cam Gallagher walks.  ,R,R,R,MIN,KC,B,,,3,2,2020,1.291701946561306,-0.2931530843155004,1.2,0.96,,609275.0,,2,4,Top,,,,,641598,,,9.064871144676324,-122.55373996005035,-3.064819588877324,11.245594767609642,24.075911879282327,-34.720580137661265,3.49,1.66,,,,84.82,2324,6.664845144588639,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.835156791411364,,,0.7,1.0,0.0,0.0,,30,7,Curveball,1,1,1,1,1,1,1,1,Strategic,Standard
CH,2020-08-15,83.0,-3.914421120709578,5.1354173174448094,Jose Berrios,595956,621244,,foul,,,,,8,,R,R,R,MIN,KC,S,,,3,2,2020,-0.9432414446687996,0.2419540584501027,0.02,1.75,,609275.0,,2,4,Top,,,,,641598,,,10.89494390491276,-120.41940454734556,-1.7527184727529108,-11.178787054442823,21.48310768918339,-29.675530568790478,3.49,1.6,25.0,83.5,-3.0,83.587,1472,6.657859407820751,631279,621244,641598,593934,503556,501303,593871,595909,621439,596146,53.84214252817925,,,,,,,,30,6,Changeup,1,1,1,1,1,1,1,1,Standard,Standard
