pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SL,2020-08-12,83.1,-0.9451525756811321,6.381947130302105,Zack Greinke,643289,425844,field_out,hit_into_play,,,,,4,Mauricio Dubon flies out to right fielder Josh Reddick.  ,R,R,R,HOU,SF,X,9.0,fly_ball,1,2,2020,0.5561196947855023,0.2300969641606449,-0.29,2.45,,543063.0,623168.0,0,7,Top,170.36,128.28,,,455117,,,0.4071416531248252,-121.06407035737206,-3.035745735904486,5.426331745797242,21.87949647998845,-29.547591632206416,3.37,1.53,202.0,70.7,51.0,82.914,2369,5.93500462124738,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.56499731475262,0.142,0.138,0.0,1.0,0.0,0.0,3.0,58,4,Slider,5,1,1,5,1,5,1,5,Standard,Standard
CS,2020-08-12,67.2,-0.9674950611967368,6.2435654468104325,Zack Greinke,643289,425844,,foul,,,,,4,,R,R,R,HOU,SF,S,,,1,1,2020,0.8468499626098324,-1.1595176219950114,-0.28,2.51,,543063.0,623168.0,0,7,Top,,,,,455117,,,-0.07036254878078185,-97.6900075270902,3.0596458028754823,5.3517397809902665,18.578706525443348,-40.323164998487385,3.37,1.53,131.0,78.5,12.0,66.081,2293,5.884913283274701,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.6150886527253,,,,,,,,58,3,Curveball,5,1,1,5,1,5,1,5,Standard,Standard
SL,2020-08-12,85.7,-1.0346214136233165,6.3488541335336395,Zack Greinke,643289,425844,,ball,,,,,14,,R,R,R,HOU,SF,B,,,0,1,2020,0.4728968896930138,0.6340212763793609,0.79,1.25,,543063.0,623168.0,0,7,Top,,,,,455117,,,3.344427937573782,-124.62176352167671,-7.0291377137378666,4.2543544853304684,25.108527931312413,-24.35669990254747,3.32,1.53,,,,85.43799999999999,2381,6.16305815737328,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.33694377862672,,,,,,,,58,2,Slider,5,1,1,5,1,5,1,5,Standard,Standard
FF,2020-08-12,88.5,-0.8338929907309344,6.437875196169442,Zack Greinke,643289,425844,,called_strike,,,,,14,,R,R,R,HOU,SF,S,,,0,0,2020,0.01446182542169471,1.551510991939157,0.96,1.86,,543063.0,623168.0,0,7,Top,,,,,455117,,,4.32233747351406,-128.5503424359287,-8.238735206382389,-0.7798960125526881,27.9362670639378,-13.444070346850689,3.28,1.53,,,,87.815,2324,6.06634093808462,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.43366099791538,,,,,,,,58,1,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard
FF,2020-08-12,86.8,-0.921800483450738,6.333228599697809,Zack Greinke,623168,425844,walk,ball,,,,,9,Tyler Heineman walks.   Brandon Crawford to 2nd.  ,R,L,R,HOU,SF,B,,,3,1,2020,0.09221922748098546,1.5995562625096094,0.43,1.78,,,543063.0,0,7,Top,,,,,455117,,,3.0195281490756125,-126.11858444606476,-7.8773938383929885,0.3164827526340788,27.650444592484032,-13.69521503307518,3.03,1.5,,,,86.069,2263,6.080723138410081,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.419278797589925,,,0.7,1.0,0.0,0.0,,57,5,4-Seam Fastball,5,1,1,5,1,5,1,5,Infield shift,Standard
SI,2020-08-12,84.8,-1.2529465253418428,6.281724951469263,Zack Greinke,623168,425844,,ball,,,,,11,,R,L,R,HOU,SF,B,,,2,1,2020,-1.3540366743400565,0.2811422972935397,-1.75,2.66,,,543063.0,0,7,Top,,,,,455117,,,1.5306386658172026,-123.5290216128602,-2.6696741873500343,-14.127300265920267,26.067636890691038,-28.96994263941805,2.96,1.5,,,,84.334,1624,6.057899735083799,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.4421022009162,,,,,,,,57,4,Sinker,5,1,1,5,1,5,1,5,Infield shift,Standard
FF,2020-08-12,87.7,-1.267580614764991,6.3920014296089995,Zack Greinke,623168,425844,,ball,,,,,11,,R,L,R,HOU,SF,B,,,1,1,2020,-0.048019084859385865,1.6610887899540596,-1.46,2.97,,,543063.0,0,7,Top,,,,,455117,,,-0.37428616940719456,-127.64125587504736,-5.533060646439604,-0.4405055615919581,27.95799516610447,-13.115275490925908,2.97,1.5,,,,87.23899999999999,2385,6.131263706625051,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.368738229374955,,,,,,,,57,3,4-Seam Fastball,5,1,1,5,1,5,1,5,Infield shift,Standard
SI,2020-08-12,84.9,-1.2921613811425274,6.273059250620156,Zack Greinke,623168,425844,,ball,,,,,13,,R,L,R,HOU,SF,B,,,0,1,2020,-0.9811133043898698,0.11284771383245515,-1.83,1.37,,,543063.0,0,7,Top,,,,,455117,,,0.6999988423077703,-123.5875291858204,-5.3307140217664415,-10.1698803329518,25.666287555684892,-30.136038539951148,3.04,1.5,,,,84.404,1695,6.0396747498115895,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.46032718618842,,,,,,,,57,2,Sinker,5,1,1,5,1,5,1,5,Infield shift,Standard
SI,2020-08-12,85.0,-1.2133174090046592,6.326454237458012,Zack Greinke,623168,425844,,foul,,,,,8,,R,L,R,HOU,SF,S,,,0,0,2020,-0.848889817973062,0.2991377505818498,0.15,1.91,,,543063.0,0,7,Top,,,,,455117,,,4.882108675366584,-123.683804691816,-4.605946152964709,-9.695533335055183,25.206504632753386,-28.374035208904363,3.3,1.5,276.0,79.1,39.0,84.757,1664,6.181125863119121,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.318876072880876,,,,,,,,57,1,Sinker,5,1,1,5,1,5,1,5,Infield shift,Standard
FF,2020-08-12,86.5,-1.1506333435555842,6.301775287005918,Zack Greinke,543063,425844,single,hit_into_play_no_out,,,,,13,Brandon Crawford singles on a line drive to center fielder Myles Straw.  ,R,L,R,HOU,SF,X,8.0,line_drive,2,2,2020,-0.042245077131538696,1.5201290921300403,-0.49,1.49,,,,0,7,Top,138.03,81.29,,,455117,,,1.6499716901678478,-125.68857656399986,-8.309894637365602,-0.7919630967056768,26.283951990453616,-14.576420420624403,3.41,1.56,224.0,83.0,18.0,86.309,2307,6.31852442299082,631447,425844,455117,493329,647351,608324,621043,663656,664702,502210,54.18147751300918,0.912,0.879,0.9,1.0,1.0,0.0,4.0,56,5,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard
