pitcher,outcome,xrelease,zrelease,xplate,zplate,vx0,vy0,vz0,ax,ay,az,spin,velocity
A.J.Minter,nan,1.81,5.59,-0.82,3.43,-7.760526873060447,-138.57597765549073,-3.3365861992185835,6.3244940573452055,30.96283542906237,-12.79444011476307,2371.0,95.9
A.J.Minter,nan,1.83,5.46,-0.41,2.37,-7.073168579822728,-137.38940604455914,-5.608504614361272,8.255088563751361,30.34286454811616,-12.889231271777707,2233.0,95.2
A.J.Minter,nan,1.99,5.53,-0.2,0.99,-7.443558538613044,-139.0442841562554,-9.054414239105158,11.136463953935763,28.16574757464119,-15.133385000518324,2214.0,96.0
A.J.Minter,nan,1.86,5.48,-0.33,1.37,-7.23494811750363,-138.68842342336734,-8.606119818085991,10.070668758279627,30.08880240858068,-10.697455670693461,2249.0,95.5
A.J.Minter,nan,1.85,5.66,1.25,1.91,-3.145797613876441,-139.18995048783592,-7.918918900865822,9.643001327944553,29.615609534277574,-9.82987529514254,2263.0,95.9
A.J.Minter,nan,1.8,5.59,-0.13,2.79,-6.5047562484245445,-138.96785898917327,-5.0632036508341525,9.633521702127403,29.717903718683896,-12.288445105112975,2248.0,95.7
A.J.Minter,single,1.62,5.53,-1.13,2.31,-8.756917889135261,-139.04493848671038,-6.249129938547632,10.753694767410252,31.510288085055013,-11.372701116584851,2333.0,95.5
A.J.Minter,nan,1.95,5.48,-0.27,2.04,-8.130579326723543,-138.68937770167454,-6.5156514245711135,15.017597680654793,30.03958514873966,-13.223536522227645,2391.0,95.5
A.J.Minter,nan,1.83,5.58,-0.56,1.09,-7.574508837308638,-138.84216853939088,-9.574996453576006,9.30640401198974,33.943966233083536,-10.366775976749329,2324.0,95.0
A.J.Minter,home_run,1.82,5.7,0.67,3.1,-4.550025118895867,-140.44314377527502,-4.487002280482861,9.714576554303012,30.519662895537408,-13.116922764726734,2322.0,96.5
A.J.Minter,nan,1.7,5.74,-0.24,2.77,-6.334562704971896,-138.55100458869046,-5.24229314607637,8.553498713508775,29.33082071148043,-13.629891788325596,2357.0,95.3
A.J.Minter,field_out,1.81,5.58,-0.98,1.93,-8.719507011047346,-137.86529858740784,-6.999894749061746,10.232240641863546,30.93059689954598,-12.783685904260786,2295.0,94.6
A.J.Minter,nan,1.93,5.63,-0.52,2.52,-7.516624641378184,-137.24113048446077,-5.5400726547235655,8.400066779064202,29.969002750622145,-13.187056078301895,2205.0,94.1
A.J.Minter,nan,1.97,5.67,-1.22,2.91,-9.395293786127917,-137.32889757036006,-4.8629244097990085,8.177803528135344,28.895622640028876,-12.214487292292954,2294.0,94.6
A.J.Minter,nan,2.07,5.49,-0.65,2.44,-8.897692087775699,-137.89888167490477,-5.350683703119242,12.15127548347658,28.951560729766868,-14.030301023681163,2342.0,95.0
A.J.Minter,nan,2.02,5.61,-1.69,2.14,-11.04563451308505,-137.5848604612521,-6.634962848960239,10.225086756158104,30.26928595588911,-12.180644403786733,2377.0,94.6
A.J.Minter,nan,1.86,5.75,-0.62,3.45,-8.181004037304378,-137.70699119707984,-3.650405870930614,11.781132019490109,30.92029381369033,-12.481615655124106,2308.0,94.1
A.J.Minter,nan,2.0,5.28,-0.03,1.44,-7.0653565373338125,-140.1617844045476,-7.758048431688372,11.318955374759364,30.784429180625768,-12.438364300509415,2296.0,96.4
A.J.Minter,nan,2.05,5.57,1.15,4.48,-3.893821526442454,-140.8160992922082,-0.2569437737061239,9.683655897936148,32.30078233985598,-15.45208156215666,2243.0,96.3
A.J.Minter,nan,2.07,5.4,0.38,2.6,-6.3212740730804295,-140.42242400949823,-5.0714427071971615,12.10888899837921,32.17592020448257,-12.560953275098246,2319.0,96.5
A.J.Minter,strikeout,1.78,5.61,-0.47,3.18,-7.284309460012031,-140.72292521548567,-4.30007207176412,9.177219762187216,32.25473663407276,-11.525041198397,2344.0,96.4
A.J.Minter,nan,1.92,5.64,0.66,4.18,-4.715160550899215,-139.9456864897703,-1.4780394134765484,9.124239305512665,31.94659261107804,-13.476371115148016,2330.0,95.9
A.J.Minter,nan,2.13,5.39,-0.78,2.54,-9.615622303426015,-140.17930433172972,-5.050767115293532,13.10708070511792,32.25786843329193,-13.553376202234864,2377.0,96.3
A.J.Minter,nan,1.87,5.62,-0.99,4.2,-8.959595243347202,-140.1757930820927,-1.3633509814664952,10.191533791566444,31.287688097698158,-13.576139084130016,2307.0,96.0
A.J.Minter,nan,2.16,5.46,-0.82,2.4,-9.612356505899305,-138.56919178219957,-5.167461340274191,12.431089903812227,30.06196007903777,-15.275646730086232,2261.0,95.1
A.J.Minter,nan,2.02,5.54,-1.57,2.65,-11.025032387080774,-138.85699182581317,-5.274009348447156,11.79409488641422,30.744974382259393,-12.127997621343296,2417.0,95.2
A.J.Minter,walk,1.78,5.44,-0.69,1.65,-6.7846849201445005,-137.90112625496698,-7.775849827964523,3.4983906637884736,31.873917144141732,-10.329537895417623,2254.0,94.5
